"filename", "language", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "Markdown", "comment", "blank", "total"
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/fetchIndicatorData.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/fetchLatestIndicatorData.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 5, 6, 32
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/fetchPriorIndicatorData.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 5, 6, 36
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/formatReportData.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 1, 6, 43
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/fredDataFormatter.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/getIndicatorDate.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/getLastDayOfMonth.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/getPreviousMonthAndYear.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/src/utils/parseIndicatorName.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/edgarulloa/Documents/Projects/state-of-the-market/backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 18, 0, 0, 0, 0, 84, 9, 111
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/.eslintrc.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 21, 0, 14, 35
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/next.config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/package-lock.json", "JSON", 0, 0, 6708, 0, 0, 0, 0, 0, 0, 1, 6709
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/package.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/tailwind.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/edgarulloa/Documents/Projects/state-of-the-market/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 1111, 336, 6814, 48, 25, 24, 2, 21, 148, 246, 8775
